lon,lat,nombre
-71.07643,-15.10445,Anta Cama
-72.33956,-13.46898,Ccolccabamba
-77.74043,-9.8229,Cori Aylluyoc
-72.13599,-12.87282,San Jose de Colca
-70.49482,-13.9712,Tantamaco Niahuisa
-70.26461,-14.76955,Calahuala Camacachi
-71.86045,-12.9309,San Jose Sahuay
-74.62058,-12.46393,San Jeronimo de Chuspi
-77.50775,-8.90965,Juan Velasco Alvarado
-71.30864,-14.55837,Tjusa
-69.798,-14.91855,Aziruni Andamarca
-70.17927,-15.26202,Huayrapata Lluncha
-72.00407,-13.63453,Checco Pucca
-70.05274,-16.1818,San Juan de Laconi
-75.79464,-12.54884,Quisque
-72.22658,-13.35246,Huayllas
-69.84496,-15.84578,Parina
-69.70063,-15.15283,Culachata
-69.76127,-14.94151,Janansaya
-77.4523,-9.5107,Cahuide
-74.81675,-12.53193,Chupaca
-69.66034,-16.1056,Lacutuyo Choconapi
-71.67997,-13.65649,Secsencalla
-73.12154,-13.63163,Ccallaspuquio Pumarcco
-76.67096,-12.17414,Cucuya
-71.43152,-14.57925,Chañi
-71.90602,-13.3525,Huanca Ayllo
-80.42145,-4.68773,Virgen del Cisne
-74.57785,-12.88027,Allpas
-71.24428,-15.01598,Hanccollahua
-71.88181,-15.05967,Santa Rosa
-75.66082,-12.28495,Tinco
-72.83435,-13.83865,Siusay
-70.23454,-15.11796,Varejon
-75.4096,-13.56725,Quito y Chocorvo Arma
-74.28775,-13.17017,San Lorenzo de Cochabamba
-76.70917,-11.22005,Viscas
-79.46503,-6.36287,San Antonio de Liquipampa
-76.72619,-11.2856,Cormo
-69.87243,-14.50568,Toma
-69.64805,-15.03331,Tres de Mayo Tocrahuyo Huilatirani
-75.39497,-13.61219,Huaytara
-71.90784,-13.78082,Paccarectambo
-70.51249,-14.03768,Tantamaco Niahuisa
-74.71133,-4.48404,Roca Fuerte
-70.52146,-15.86132,Añavile
-74.52988,-12.84726,"Choclococha, Yanacocha, Chilcapite"
-76.79858,-10.68615,Viroc
-71.72005,-13.76552,Yanaccocha
-77.51375,-10.27055,Corazon de Jesus
-79.46482,-5.87486,Chinche Tallacas
-71.61478,-14.30999,Aucho
-76.57456,-9.56329,San Francisco de Marias
-77.06594,-10.63358,Virunhuaira y Aguas
-80.37822,-4.69229,Cury Lagartos
-76.6603,-11.53836,Viscas Bellavista
-72.0168,-13.3882,Cuper
-70.60853,-16.14635,Santa Cruz de Oyo Oyo
-76.61253,-9.96748,Caramarca
-72.26752,-13.08889,Yanamayo
-78.63821,-7.21803,Cumbico
-74.11369,-13.19065,Tambillo
-71.80694,-13.3583,Paru Paru
-71.3338,-14.28008,Huayllani Pacpaca
-69.03025,-16.33845,Sanquira
-74.19839,-13.39217,Minascucho
-69.22516,-14.53963,Girigachi
-71.11903,-14.14239,Irubamba Machaccoyo Occopata
-71.54551,-16.45501,Pampas Viejas de Socabaya
-72.44687,-15.1943,Umachulco
-69.59668,-16.05067,Unidas Jilata
-70.5424,-16.20037,Corire
-76.30656,-12.35788,Viscas
-72.68569,-15.13308,Challpa Pullhuay Yanacanta
-74.67531,-14.66281,Uchuymarca
-73.82614,-13.53323,Chacari
-74.29399,-12.87943,San Pedro de Pampay
-74.10019,-13.59341,Putica
-74.88609,-12.64381,Union Progreso Pucacancha
-70.47903,-16.15603,Crucero
-71.39631,-14.52633,Sausaya
-71.55638,-13.85357,Huaccaytaqui
-75.93095,-12.43511,Yauyos
-73.86523,-13.02255,Virgen de Cocharcas de Cochas
-78.34408,-7.02288,La Encañada
-70.2857,-17.5009,Chipispaya
-72.23126,-13.428,Rahuanqui
-71.87426,-14.34306,Cconcha Ccollo
-72.78896,-15.09049,Piramarca
-71.08481,-13.78724,Sallani
-70.36548,-14.9965,Isla Ticca Huito
-76.42519,-10.367,San Juan de Paucar
